37791.363 IndBall = 9	| H = 67930.00361	 VH = 1706.17344	 AH = -13.13321 |	A = 178756.93543	Ac = 181501.87317	Ac_pred = 184246.81091	delta_Ac = 0.01512	D = 741114.25139	lambda = 14.12412	TType = 1
37791.368 IndBall = 11	| H = 31213.84558	 VH = 388.83839	 AH = -25.66623 |	A = 34159.25841	Ac = 34441.66442	Ac_pred = 34724.07043	delta_Ac = 0.00820	D = 202304.13123	lambda = 6.65091	TType = 3
37791.804 IndBall = 4	| H = 72110.86277	 VH = 1310.54605	 AH = -12.83848 |	A = 139000.84420	Ac = 69500.42210	Ac_pred = 0.00000	delta_Ac = 6950042.20978	D = 865178.70280	throw_angle = 30.10400	TType = 0
37791.809 IndBall = 4	| H = 72110.86277	 VH = 1310.54605	 AH = -12.83848 |	A = 139000.84420	Ac = 104250.63315	Ac_pred = 69500.42210	delta_Ac = 0.50000	D = 865178.70280	throw_angle = 29.28749	TType = 0
37791.812 IndBall = 4	| H = 72110.86277	 VH = 1310.54605	 AH = -12.83848 |	A = 139000.84420	Ac = 121625.73867	Ac_pred = 104250.63315	delta_Ac = 0.16667	D = 865178.70280	throw_angle = 30.42153	TType = 0
37791.816 IndBall = 4	| H = 72110.86277	 VH = 1310.54605	 AH = -12.83848 |	A = 139000.84420	Ac = 130313.29143	Ac_pred = 121625.73867	delta_Ac = 0.07143	D = 865178.70280	throw_angle = 30.42153	TType = 0
37791.819 IndBall = 4	| H = 72110.86277	 VH = 1310.54605	 AH = -12.83848 |	A = 139000.84420	Ac = 134657.06781	Ac_pred = 130313.29143	delta_Ac = 0.03333	D = 865178.70280	throw_angle = 30.42153	TType = 0
37791.822 IndBall = 4	| H = 73323.36104	 VH = 1296.51372	 AH = -12.89709 |	A = 138491.06593	Ac = 136574.06687	Ac_pred = 134657.06781	delta_Ac = 0.01424	D = 865178.70280	lambda = 9.53661	TType = 3
37791.826 IndBall = 4	| H = 73323.36104	 VH = 1296.51372	 AH = -12.89709 |	A = 138491.06593	Ac = 137532.56640	Ac_pred = 136574.06687	delta_Ac = 0.00702	D = 865178.70280	lambda = 9.60354	TType = 3
37791.852 IndBall = 4	| H = 75550.78142	 VH = 1276.90249	 AH = 2.78389 |	A = 368393.11184	Ac = 252962.83912	Ac_pred = 137532.56640	delta_Ac = 0.83929	D = 865178.70280	throw_angle = 30.42153	TType = 0
37791.854 IndBall = 4	| H = 75550.78142	 VH = 1276.90249	 AH = 2.78389 |	A = 368393.11184	Ac = 310677.97548	Ac_pred = 252962.83912	delta_Ac = 0.22816	D = 865178.70280	throw_angle = 30.42153	TType = 0
37791.858 IndBall = 4	| H = 75550.78142	 VH = 1276.90249	 AH = 2.78389 |	A = 368393.11184	Ac = 339535.54366	Ac_pred = 310677.97548	delta_Ac = 0.09289	D = 865178.70280	throw_angle = 30.42153	TType = 0
37791.861 IndBall = 4	| H = 75550.78142	 VH = 1276.90249	 AH = 2.78389 |	A = 368393.11184	Ac = 353964.32775	Ac_pred = 339535.54366	delta_Ac = 0.04250	D = 865178.70280	throw_angle = 30.42153	TType = 0
37791.866 IndBall = 4	| H = 75550.78142	 VH = 1276.90249	 AH = 2.78389 |	A = 368393.11184	Ac = 361178.71979	Ac_pred = 353964.32775	delta_Ac = 0.02038	D = 865178.70280	throw_angle = 30.42153	TType = 0
37791.870 IndBall = 4	| H = 76758.56550	 VH = 1270.80538	 AH = -18.25552 |	A = 120990.28952	Ac = 241084.50466	Ac_pred = 361178.71979	delta_Ac = 0.49814	D = 865178.70280	throw_angle = 30.42153	TType = 0
37791.872 IndBall = 4	| H = 76758.56550	 VH = 1270.80538	 AH = -18.25552 |	A = 120990.28952	Ac = 181037.39709	Ac_pred = 241084.50466	delta_Ac = 0.33168	D = 865178.70280	throw_angle = 30.42153	TType = 0
37791.875 IndBall = 4	| H = 76758.56550	 VH = 1270.80538	 AH = -18.25552 |	A = 120990.28952	Ac = 151013.84331	Ac_pred = 181037.39709	delta_Ac = 0.19881	D = 865178.70280	throw_angle = 30.42153	TType = 0
37791.879 IndBall = 4	| H = 76758.56550	 VH = 1270.80538	 AH = -18.25552 |	A = 120990.28952	Ac = 136002.06642	Ac_pred = 151013.84331	delta_Ac = 0.11038	D = 865178.70280	throw_angle = 30.42153	TType = 0
37791.882 IndBall = 4	| H = 76758.56550	 VH = 1270.80538	 AH = -18.25552 |	A = 120990.28952	Ac = 128496.17797	Ac_pred = 136002.06642	delta_Ac = 0.05841	D = 865178.70280	throw_angle = 30.42153	TType = 0
37791.886 IndBall = 4	| H = 78037.72508	 VH = 1242.33678	 AH = -19.05397 |	A = 118538.47892	Ac = 123517.32844	Ac_pred = 128496.17797	delta_Ac = 0.04031	D = 865178.70280	throw_angle = 30.42153	TType = 0
